## 現金流量表

**112年第1季**
    - 評價調整：$4,250,385
- 債務工具：
    - 受益憑證：$792,218
    - 評價調整：-$92,667

**111年12月31日**
- 權益工具：
    - 上市櫃公司股票：$3,123,235
    - 非上市、上櫃、興櫃股票：$1,124,244
    - 評價調整：$4,266,190
- 債務工具：
    - 受益憑證：$798,982
    - 評價調整：-$102,316

**111年3月31日**
- 權益工具：
    - 上市櫃公司股票：$2,745,291
    - 非上市、上櫃、興櫃股票：$1,142,955
    - 評價調整：$3,869,535
- 債務工具：
    - 受益憑證：$747,599
    - 評價調整：-$34,135


## 按公允價值衡量之金融資產認列於損益及綜合損益之明細

**112年第1季**
- 按公允價值衡量之權益工具：
    - 認列於其他綜合損益之公允價值變動：$207,225
    - 認列於損益之股利收入：$1,049
- 按公允價值衡量之債務工具：
    - 認列於其他綜合損益之公允價值變動：-$8,769
    - 認列於損益之利息收入：$17,962

**111年第1季**
- 按公允價值衡量之權益工具：
    - 認列於其他綜合損益之公允價值變動：-$98,927
    - 認列於損益之股利收入：$358
- 按公允價值衡量之債務工具：
    - 認列於其他綜合損益之公允價值變動：-$49,312
    - 認列於損益之利息收入：$17,771


## 採用權益法之投資

**112年3月31日**
- 關聯企業：
    - 統一綜合證券(股)公司：$10,390,415
    - 家福(股)公司：$6,000,875
    - 太子建設開發(股)公司：$3,349,244
    - 大統益(股)公司：$3,041,346
    - 光泉牧場(股)公司：$3,025,637
    - 煙台北方安德利果汁(股)公司：$1,882,297
    - 維力食品工業(股)公司：$1,408,109
    - 萬通票券金融(股)公司：$1,178,324
    - 其他(零星未超過2%)：$1,369,025
- 合資：
    - 華穗食品創業投資企業：$664,136
    - 武漢紫江統一企業有限公司：$633,515
    - 其他(零星未超過2%)：$596,422

**111年12月31日**
- 關聯企業：
    - 統一綜合證券(股)公司：$10,173,144
    - 家福(股)公司：$5,813,691
    - 太子建設開發(股)公司：$3,321,171
    - 大統益(股)公司：$2,880,447
    - 光泉牧場(股)公司：$2,875,148
    - 煙台北方安德利果汁(股)公司：$1,891,492
    - 維力食品工業(股)公司：$1,350,759
    - 萬通票券金融(股)公司：$1,120,461
    - 其他(零星未超過2%)：$1,352,741
- 合資：
    - 華穗食品創業投資企業：$668,945
    - 武漢紫江統一企業有限公司：$626,041
    - 其他(零星未超過2%)：$581,796

**111年3月31日**
- 關聯企業：
    - 統一綜合證券(股)公司：$10,794,845
    - 家福(股)公司：$6,111,340
    - 太子建設開發(股)公司：$3,319,815
    - 大統益(股)公司：$2,966,913
    - 光泉牧場(股)公司：$2,841,249
    - 煙台北方安德利果汁(股)公司：$1,719,934
    - 維力食品工業(股)公司：$1,511,458
    - 萬通票券金融(股)公司：$1,378,640
    - 其他(零星未超過2%)：$1,320,656
- 合資：
    - 華穗食品創業投資企業：$833,984
    - 武漢紫江統一企業有限公司：$661,143
    - 其他(零星未超過2%)：$571,600


## 部分關聯企業有公開市場報價者之公允價值

**112年3月31日**
- 大統益(股)公司：$10,962,260
- 統一綜合證券(股)公司：$8,055,071
- 太子建設開發(股)公司：$2,539,359
- 興能高科技(股)公司：$654,425

**111年12月31日**
- 大統益(股)公司：$10,408,610
- 統一綜合證券(股)公司：$7,829,929
- 太子建設開發(股)公司：$2,278,912
- 興能高科技(股)公司：$529,600

**111年3月31日**
- 大統益(股)公司：$11,626,639
- 統一綜合證券(股)公司：$11,471,377
- 太子建設開發(股)公司：$2,854,066
- 興能高科技(股)公司：$694,418


## 不動產、廠房及設備

**112年1月1日**
- 成本：
    - 土地：$18,170,815
    - 房屋及建築：$78,761,754
    - 機器及水電設備-供自用：$109,394,169
    - 機器及水電設備-供租賃：$1,113,221
    - 運輸設備：$8,761,667
    - 租賃改良：$24,825,485
    - 其他-供自用：$73,224,221
    - 其他-供租賃：$8,107,662
    - 未完工程：$3,499,503
- 累計折舊：
    - 土地：-$36,645,637
    - 房屋及建築：-$85,324,781
    - 機器及水電設備-供自用：-$972,392
    - 機器及水電設備-供租賃：-$6,087,277
    - 運輸設備：-$15,364,553
    - 租賃改良：-$52,108,926
    - 其他-供自用：無
    - 其他-供租賃：無
    - 未完工程：-$3,200,465
- 累計減損：
    - 土地：-$3,932
    - 房屋及建築：-$87,012
    - 機器及水電設備-供自用：-$17,807
    - 機器及水電設備-供租賃：無
    - 運輸設備：無
    - 租賃改良：無
    - 其他-供自用：-$137,997
    - 其他-供租賃：-$45,397
    - 未完工程：-$23

**112年第1季**
- 1月1日餘額：與112年1月1日相同
- 增添：
    - 土地：$1,952
    - 房屋及建築：無
    - 機器及水電設備-供自用：$1,025,486
    - 機器及水電設備-供租賃：$176,865
    - 運輸設備：$32,224
    - 租賃改良：$1,345,504
    - 其他-供自用：$5,288,892
    - 其他-供租賃：$31
    - 未完工程：$365,256
- 折舊費用：
    - 土地：-$675,874
    - 房屋及建築：-$1,195,680
    - 機器及水電設備-供自用：-$398,541
    - 機器及水電設備-供租賃：-$146,482
    - 運輸設備：-$1,302,777
    - 租賃改良：-$156,108
    - 其他-供自用：-$1,612,465
    - 其他-供租賃：-$87,770
    - 未完工程：-$292,920
- 處分-成本：
    - 土地：無
    - 房屋及建築：無
    - 機器及水電設備-供自用：-$138,869
    - 機器及水電設備-供租賃：-$5,849
    - 運輸設備：無
    - 租賃改良：無
    - 其他-供自用：-$1,210,548
    - 其他-供租賃：-$82,151
    - 未完工程：無
- 處分-累計折舊：
    - 土地：無
    - 房屋及建築：無
    - 機器及水電設備-供自用：$74,973
    - 機器及水電設備-供租賃：$52
    - 運輸設備：無
    - 租賃改良：無
    - 其他-供自用：$1,089,940
    - 其他-供租賃：$4,851,210
    - 未完工程：無
- 減損迴轉利益(損失)：
    - 土地：$77
    - 房屋及建築：-$46
    - 機器及水電設備-供自用：無
    - 機器及水電設備-供租賃：無
    - 運輸設備：無
    - 租賃改良：無
    - 其他-供自用：-$5,482
    - 其他-供租賃：-$191,491
    - 未完工程：無
- 重分類：
    - 土地：無
    - 房屋及建築：無
    - 機器及水電設備-供自用：無
    - 機器及水電設備-供租賃：無
    - 運輸設備：無
    - 租賃改良：無
    - 其他-供自用：無
    - 其他-供租賃：無
    - 未完工程：無
- 淨兌換差額：
    - 土地：$1,036,566
    - 房屋及建築：$2,490
    - 機器及水電設備-供自用：$6,766
    - 機器及水電設備-供租賃：$128,376
    - 運輸設備：$172,537
    - 租賃改良：$81,438
    - 其他-供自用：$586
    - 其他-供租賃：$77,393
    - 未完工程：$1,244,531

**112年3月31日**
- 成本：
    - 土地：$19,204,891
    - 房屋及建築：$77,306,036
    - 機器及水電設備-供自用：$108,970,850
    - 機器及水電設備-供租賃：$1,107,808
    - 運輸設備：$8,782,634
    - 租賃改良：$25,731,763
    - 其他-供自用：$74,470,057
    - 其他-供租賃：$8,109,439
    - 未完工程：$4,762,132
- 累計折舊：
    - 土地：-$36,782,791
    - 房屋及建築：-$85,984,088
    - 機器及水電設備-供自用：-$973,501
    - 機器及水電設備-供租賃：-$6,169,196
    - 運輸設備：-$15,820,175
    - 租
