**(三)國際會計準則理事會已發布但尚未經金管會認可之國際財務報導準則之影響**

下表彙列國際會計準則理事會已發布但尚未納入金管會認可之國際財務報導準則之新發布、修正及修訂之準則及解釋:

新發布/修正/修訂準則及解釋 | 國際會計準則理事會發布之生效日
---|---
國際財務報導準則第10號及國際會計準則第28號之修正「投資者與其關聯企業或合資間之資產出售或投入」 | 待國際會計準則理事會決定
國際財務報導準則第16號之修正「售後租回中之租賃負債」 | 112年1月1日
國際財務報導準則第17號「保險合約」 | 112年1月1日
國際財務報導準則第17號之修正「初次適用國際財務報導準則第17號及國際財務報導準則第9號—比較資訊」 | 112年1月1日
國際會計準則第1號之修正「負債之流動或非流動分類」 | 113年1月1日
國際會計準則第1號之修正「具合約條款之非流動負債」 | 113年1月1日

本集團經評估上述準則及解釋對本集團財務狀況與財務績效並無重大影響。

**四、重大會計政策之彙總說明**

重大會計政策除遵循聲明、編製基礎、合併基礎及新增部分說明如下,餘與111年度合併財務報表附註四相同。除另有說明外,此等政策在所有報導期間一致地適用。

**(一)遵循聲明**

1. 本合併財務報告係依據證券發行人財務報告編製準則與金管會認可並發布生效之國際會計準則第34號「期中財務報導」編製。
2. 本合併財務報告應併同111年度合併財務報告閱讀。

**(二)編製基礎**

1. 除下列重要項目外,本合併財務報告係按歷史成本編製:
    (1)透過損益按公允價值衡量之金融資產及負債(包括衍生工具)。
    (2)透過其他綜合損益按公允價值衡量之金融資產。
    (3)按退休基金資產減除確定福利義務現值之淨額認列之確定福利負債。
2. 編製符合金管會認可並發布生效之國際財務報導準則、國際會計準則、解釋及解釋公告(以下簡稱 IFRSs)之財務報告需要使用一些重要會計估計,在應用本集團的會計政策過程中亦需要管理階層運用其判斷,涉及高度判斷或複雜性之項目,或涉及合併財務報表之重大假設及估計之項目,請詳附註五說明。


**(三)合併基礎**

1. 合併財務報告編製原則
    (1)本集團將所有子公司納入合併財務報告編製之個體。子公司指受本集團控制之個體(包括結構型個體),當本集團暴露於來自對該個體之參與之變動報酬或對該等變動報酬享有權利,且透過對該個體之權力有能力影響該等報酬時,本集團即控制該個體。子公司自本集團取得控制之日起納入合併財務報表,於喪失控制之日起終止合併。
    (2)集團內公司間之交易、餘額及未實現損益業已銷除。子公司之會計政策與本集團採用之政策一致。
    (3)損益及其他綜合損益各組成部分歸屬於母公司業主及非控制權益;綜合損益總額亦歸屬於母公司業主及非控制權益,即使因而導致非控制權益發生虧損餘額。
    (4)對子公司持股之變動若未導致喪失控制(與非控制權益之交易),係作為權益交易處理,亦即視為與業主間進行之交易。非控制權益之調整金額與所支付或收取對價之公允價值間之差額係直接認列於權益。
    (5)當集團喪失對子公司之控制,對前子公司之剩餘投資係按公允價值重新衡量,並作為原始認列金融資產之公允價值或原始認列投資關聯企業或合資之成本,公允價值與帳面金額之差額認列為當期損益。對於先前認列於其他綜合損益與該子公司有關之所有金額,其會計處理與本集團若直接處分相關資產或負債之基礎相同,亦即如先前認列為其他綜合損益之利益或損失,於處分相關資產或負債時將被重分類為損益,則當喪失對子公司之控制時,將該利益或損失自權益重分類為損益。

2. 列入合併財務報告之子公司:

投資公司編號 | 名稱 | 子公司名稱 | 業務性質 | 112年3月31日合併所持股權百分比 | 111年12月31日合併所持股權百分比 | 111年3月31日合併所持股權百分比 | 說明
31 | DNH | Delta Networks, Inc. (DNI Cayman) | 投資事業 | 100.00 | 100.00 | 100.00 | 
32 | DNI Cayman | Delta Networks (HK) Limited (DNHK) | // | 100.00 | 100.00 | 100.00 | 
33 | DHK/DHK、DNHK | 達創科技(東莞)有限公司(達創東莞) | 其他無線電廣播接收器及寬頻接入網通信系統設備等產品製造及銷售業務 | 100.00 | 100.00 | 100.00 | (註7)
34 | 乾坤 | Fairview Assets Ltd. (Fairview) | 投資事業 | 100.00 | 100.00 | 100.00 | 
35 | Fairview | Grandview Holding Ltd. (Grandview) | // | 100.00 | 100.00 | 100.00 | 
36 | Grandview | CYNTEC HOLDING (HK) LIMITED (CHK) | // | 100.00 | 100.00 | 100.00 | 
37 | // | Cyntec International Ltd. (CIL-Labuan) | 貿易業 | - | 100.00 | 100.00 | (註22)
38 | DHK/CHK | 吳江華豐電子科技有限公司(華豐) | 技術服務、技術開發、技術諮詢、技術交流、技術轉讓、技術推廣,電子元器件製造,電子元器件批發,電子元器件零售,模具製造,模具銷售,鍛件及粉末冶金製品銷售 | 100.00 | 100.00 | 100.00 | (註16)
39 | 達爾 | 蘇州爾達醫療設備有限公司(蘇州爾達) | 醫療器材製造、批發與銷售 | 100.00 | 100.00 | 100.00 | (註1)(註2)
40 | DIH | DELTA ELECTRONICS (NORWAY) AS | 經營電源供應器等之研發及銷售業務 | 100.00 | 100.00 | 100.00 | (註23)
41 | // | Delta Controls Inc. (DCI) | 提供樓宇管理與控制解決方案 | 100.00 | 100.00 | 100.00 | 
42 | // | DELTA ELECTRONICS HOLDING (USA) INC. | 投資事業 | 100.00 | 100.00 | 100.00 | (註1)(註2)
43 | DELTA ELECTRONICS (NORWAY) AS | ELTEK PAKISTAN (PRIVATE) LIMITED | 經營電源供應器等之銷售業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)
44 | // | DELTA Electronics (Germany) GmbH | // | 100.00 | 100.00 | 100.00 | (註1)(註2)(註14)
45 | Delta Energy Systems (Singapore) PTE. LTD. | Delta Electronics (Australia) Pty Ltd | 經營電源供應器等之銷售業務及系統建置業務 | 100.00 | 100.00 | 100.00 | 
46 | DELTA ELECTRONICS (NORWAY) AS | Eltek Egypt for Power Supply S. A. E. | 經營電源供應器等之銷售業務 | 95.00 | 95.00 | 95.00 | (註1)(註2)
47 | DELTA ELECTRONICS (NORWAY)AS、DELTA ELECTRONICS (USA) INC. | Eltek SGS Pvt Ltd. | 經營電源供應器等之銷售業務及系統建置業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)
48 | DELTA ELECTRONICS (NORWAY)AS、DELTA ELECTRONICS (USA) INC. | Eltek SGS Mechanics Pvt Ltd. | 經營電源供應器等之銷售業務 | 51.00 | 51.00 | 51.00 | (註1)(註2)
49 | DELTA ELECTRONICS (NORWAY) AS | DELTA ELECTRONICS (France) SAS | 經營電源供應器等之銷售業務及系統建置業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)(註17)
50 | // | ELTEK MEA DMCC | 經營電源供應器等之銷售業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)
51 | ELTEK MEA DMCC、DELTA ELECTRONICS (NORWAY) AS | ELTEK WEST AFRICA LIMITED | 經營電源供應器之銷售業務 | - | - | 100.00 | (註2)(註18)
52 | DELTA ELECTRONICS (NORWAY) AS | Eltek Italia S. r. l. | 經營電源供應器等之銷售業務 | 100.00 | 100.00 | 100.00 | (註2)(註21)
53 | // | Delta Electronics (Sweden) AB | // | 100.00 | 100.00 | 100.00 | (註1)(註2)
54 | // | DELTA ELECTRONICS (UK) LTD | // | 100.00 | 100.00 | 100.00 | (註1)(註2)(註13)
55 | // | 000 Eltek | 經營電源供應器等之銷售業務及系統建置業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)
56 | DELTA Electronics (Germany) GmbH | DELTA Montage GmbH | 經營電源供應器之安裝及維修服務業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)(註15)
57 | DEIL-SG | ELTEK POWER INCORPORATED | 經營電源供應器等之銷售業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)
58 | // | ELTEK POWER CO., LTD. | // | 100.00 | 100.00 | 100.00 | (註1)(註2)(註3)
59 | // | ELTEK POWER (CAMBODIA) LTD | // | 100.00 | 100.00 | 100.00 | (註1)(註2)
60 | // | ELTEK POWER (MALAYSIA) SDN. BHD. | // | 100.00 | 100.00 | 100.00 | (註1)(註2)(註4)
61 | DELTA ELECTRONICS (USA) INC. | DELTA ELECTRONICS HOLDING (USA) INC. | 經營電源供應器等之製造及銷售業務 | 100.00 | 100.00 | 100.00 | 
62 | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (ARGENTINA) S. R. L. | 經營電源供應器等之銷售業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)
63 | DEN、DELTA ELECTRONICS (USA) INC. | ELTEK SISTEMAS DE ENERGIA INDUSTRIA E COMERCIO LTDA. | 經營電源供應器等之製造及銷售業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)(註9)
64 | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (PERU) INC. S. R. L. | 經營電源供應器等之銷售業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)
65 | DELTA ELECTRONICS (USA) INC. | DELTA ELECTRONICS (COLOMBIA) S. A. S. | // | 100.00 | 100.00 | 100.00 | (註1)(註2)
66 | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | Eltekenergy Services, S. A. de C. V. | // | 100.00 | 100.00 | 100.00 | (註1)(註2)
67 | DHK、DIH | Eltekenergy International de México, S. de R. L. de C. V. |  |  |  | 100.00 | (註2)(註6)
68 | DAL | Delta Electronics (Americas) Ltd. | 經營電子零組件之銷售業務 | 100.00 | 100.00 | 100.00 | (註2)
69 | 乾坤 | 力林科技股份有限公司(力林) | 電源管理IC設計 | 99.74 | 99.74 | 100.00 | (註1)(註2)
70 | 台達企管、中達電通/上海中達能源科技有限公司 | 上海浦環中達能源科技有限公司 | 太陽能熱發電產品銷售、太陽能熱發電裝備銷售、光伏設備及元器件銷售、機械電器設備銷售、電力電子元器件銷售、半導體器件專用設備銷售、光伏發電設備租賃、工程和技術研究和試驗發展、節能管理服務、太陽能發電技術服務 | 100.00 | 100.00 | 100.00 | (註1)(註2)(註12)
71 | DEIL-SG | Loy Tec electronics GmbH (Loy Tec) | 提供樓宇管理與控制解決方案 | 100.00 | 100.00 | 100.00 | (註1)(註2)
72 | DHK | 台達智能科技(北京)有限公司 | 機電、電信及電路設備安裝 | 100.00 | 100.00 | 100.00 | (註1)(註2)
73 | // | 台達電子(西安)有限公司 | 電腦及其週邊設備、軟體買賣 | 100.00 | 100.00 | 100.00 | (註1)(註2)
74 | DIH | Delta Electronics (Switzerland) AG (DECH) | 投資事業、經營電子產品之研發及買賣 | 100.00 | 100.00 | 100.00 | (註1)(註2)
75 | DEN | Delta Greentech Electronics Industry LLC | 經營電子產品之行銷及銷售業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)
76 | DEN、Delta Electronics (USA) INC. | DELTA GREENTECH (BRASIL) LTDA. (DGB) | 經營電子產品之製造及買賣 | 100.00 | 100.00 | 100.00 | (註1)(註2)(註10)
77 | DECH | Delta Electronics (Czech Republic), spol. s. r. o. | 經營電子產品之買賣 | 100.00 | 100.00 | 100.00 | (註1)(註2)
78 | // | Delta Electronics (Italy) S. r. l. | // | 100.00 | 100.00 | 100.00 | (註1)(註2)
79 | // | Delta Electronics (Poland) Sp. zo.o. | // | 100.00 | 100.00 | 100.00 | (註1)(註2)
80 | // | Delta Solutions (Finland) Oy | // | 100.00 | 100.00 | 100.00 | (註1)(註2)
81 | // | Delta Electronics Solutions (Spain) SL | // | 100.00 | 100.00 | 100.00 | (註1)(註2)
82 | 台達電子工業股份有限公司 | 晶睿通訊股份有限公司(晶睿) | 影音壓縮軟體及編碼、網路影音伺服器、網路攝影機及相關零組件之製造及銷售 | 56.75 | 56.75 | 55.65 | 
83 | 晶睿 | Vivotek Holdings, Inc. | 控股公司 | 100.00 | 100.00 | 100.00 | 
84 | // | 睿盈投資股份有限公司(睿盈) | 創投公司 | 100.00 | 100.00 | 100.00 | 
85 | // | Vivotek Netherlands B. V. | 銷售服務 | 100.00 | 100.00 | 100.00 | 
86 | // | Vivotek (Japan) Inc. | // | 100.00 | 100.00 | 100.00 | 
87 | Vivotek Holdings, Inc. | Vivotek USA, Inc. | 網路攝影機及相關零組件之銷售 | 100.00 | 100.00 | 100.00 | 
88 | 睿盈 | Wellstates Investment, LLC | 投資及租賃商業不動產相關業務 | 100.00 | 100.00 | 100.00 | 
89 | 晶睿 | 歐特斯股份有限公司(歐特斯) | 網路攝影機及相關零組件之銷售 | - | 56.21 | 56.21 | (註24)
90 | 睿盈 | 高譽科技股份有限公司(高譽) | // | - | 56.21 | 56.21 | 
91 | // | 新思代科技股份有限公司(新思代) | 照明設備之銷售 | 51.00 | 51.00 | 51.00 | 
92 | DEN | DELTA ELECTRONICS BRASIL LTDA. | 經營電子產品之製造及買賣 | 100.00 | 100.00 | 100.00 | (註1)(註2)
93 | DEN、台達電子工業股份有限公司、DEIL-SG、DIH | Delta Electronics (Thailand) Public Company Limited (DET) | 電源供應器、其他電子設備及零組件之製造及出口 | 63.78 | 63.78 | 63.78 | 
94 | DET | DET International Holding B. V. | 投資事業 | 100.00 | 100.00 | 100.00 | (註19)
95 | // | Delta Energy Systems (Singapore) PTE. LTD. | 投資事業、貿易、管理及諮詢業務 | 100.00 | 100.00 | 100.00 | 
96 | // | Delta Green Industrial (Thailand) Co., Ltd. | 不斷電式電源供應器、太陽能逆變器、電動車充電器、資料中心之整合、銷售、貿易、安裝及服務 | 100.00 | 100.00 | 100.00 | 
97 | // | Delta Electronics (Vietnam) Company Limited | 電子產品買賣 | 100.00 | 100.00 | 100.00 | 
98 | DET、Delta Energy Systems (Singapore) PTE. LTD. | DELTA ELECTRONICS INDIA MANUFACTURING PRIVATE LIMITED | 電子產品之製造及銷售 | 100.00 | 100.00 | 100.00 | 
99 | DET International Holding B. V. | DET Logistics (USA) Corporation | 提供美國境內物流服務 | 100.00 | 100.00 | 100.00 | 
100 | // | Delta Energy Systems (Germany) GmbH | 電子產品研發、行銷及銷售業務 | 100.00 | 100.00 | 100.00 | 
101 | // | Delta Energy Systems (India) Private Ltd. | 電子產品行銷及銷售業務 | 100.00 | 100.00 | 100.00 | 
102 | DET International Holding B. V.、Delta Energy Systems (Singapore) PTE. LTD. | Delta Electronics (Slovakia) s. r. o. | 電源供應器、電源系統、OEM電源系統製造及銷售業務 | 100.00 | 100.00 | 100.00 | 
103 | DET International Holding B. V. | Delta Energy Systems (Romania) S. R. L. | 研發 | 100.00 | 100.00 | 100.00 | 
104 | Delta Energy Systems (Germany) GmbH | Delta Energy Systems Property (Germany) GmbH | 產權業務 | 100.00 | 100.00 | 100.00 | 
105 | Delta Energy Systems (Singapore) PTE. LTD. | Delta Electronics (Holdings) Australia Pty Ltd | 再生能源產品行銷及銷售業務 | 100.00 | 100.00 | 100.00 | 
106 | // | Delta Electronics India Pvt. Ltd. | 非通訊電源系統及不斷電式電源供應器之製造、行銷及銷售不斷電式電源供應器 | 100.00 | 100.00 | 100.00 | 
107 | // | Delta Electronics (Myanmar) Co., Ltd. | 機械及運用於CMP製程之電子產品之製造 | 100.00 | 100.00 | 100.00 | 
108 | // | Delta Energy Systems (UK) Ltd. | 電子產品之研發 | 100.00 | 100.00 | 100.00 | 
109 | // | Delta Greentech (Netherlands) B. V. | 投資事業 | 100.00 | 100.00 | 100.00 | 
110 | Delta Greentech (Netherlands) B. V. | Delta Energy Systems LLC | 電源系統之行銷及銷售 | 100.00 | 100.00 | 100.00 | 
111 | // | Eltek s. r. o. | 製造通訊電源系統 | 100.00 | 100.00 | 100.00 | 
112 | // | Delta Electronics (Automotive) Americas Inc. | 研發汽車動力及牽引逆變器 | 100.00 | 100.00 | 100.00 | 
113 | DEN | Amerlux, LLC (Amerlux) | 專用照明系統及設施之設計及生產 | 100.00 | 100.00 | 100.00 | (註1)(註2)
114 | Amerlux | Amerlux Lighting Asia, LLC | 投資事業 | 100.00 | 100.00 | 100.00 | (註1)(註2)
115 | Amerlux Lighting Asia, LLC | Amerlux Lighting Hong Kong Limited | // | 100.00 | 100.00 | 100.00 | (註1)(註2)
116 | Amerlux Lighting Hong Kong Limited | 廣州埃墨勒施照明器具有限公司 | 燈具、裝飾物品之批發 | 100.00 | 100.00 | 100.00 | (註1)(註2)
117 | DIH | Digital Projection International Ltd.


對集團具重大性之非控制權益之子公司
本集團民國112年3月31日、111年12月31日及111年3月31日非控制權益總額分別為$40,563,305、$38,578,278及$33,246,772，下列為對本集團具重大性之非控制權益所屬子公司之資訊：
非控制權益

112年3月31日
子公司名稱：晶睿通訊股份有限公司 (晶睿)
主要營業場所：台灣
金額：$3,547,356
持股百分比：43.25%

子公司名稱：Delta Electronics (Thailand) Public Company limited (DET)
主要營業場所：泰國
金額：34,855,364
持股百分比：36.22%

111年12月31日
子公司名稱：晶睿通訊股份有限公司 (晶睿)
主要營業場所：台灣
金額：$3,498,166
持股百分比：43.25%

子公司名稱：Delta Electronics (Thailand) Public Company limited (DET)
主要營業場所：泰國
金額：33,992,121
持股百分比：36.22%

非控制權益

111年3月31日
金額：$3,365,889
持股百分比：44.35%

金額：29,376,764
持股百分比：36.22%
