(2) 融資額度
        - 租賃負債-非流動：650,411

111年7月1日至9月30日及1月1日至9月30日認列租賃負債利息費用 2,033仟元及6,096仟元。110年7月1日至9月30日及1月1日至9月30日認列租賃負債利息費用1,759仟元及5,630仟元。

(三)對主要管理階層之薪酬
對董事及主要管理階層之薪酬總額如下：
    - 111年7月1日至9月30日：
        - 短期員工福利：38,484
        - 退職後福利：1,764
        - 股份基礎給付：402
    - 110年7月1日至9月30日：
        - 短期員工福利：73,418
        - 退職後福利：1,961
        - 股份基礎給付：411
    - 111年1月1日至9月30日：
        - 短期員工福利：251,797
        - 退職後福利：5,340
        - 股份基礎給付：1,204
    - 110年1月1日至9月30日：
        - 短期員工福利：237,505
        - 退職後福利：5,766
        - 股份基礎給付：1,238

董事及主要管理階層之薪酬主要係由薪資報酬委員會依照績效及市場趨勢決定。

三八、質抵押之資產

下列資產係作為本集團借款、進口原物料之關稅、合約履約保固之擔保或受境外資金匯回管理運用及課稅條例限制用途之銀行存款：
    - 111年9月30日：
        - 不動產、廠房及設備：2,410,160
        - 受限制資產(帳列其他資產-其他項下)：127,892
    - 110年12月31日：
        - 不動產、廠房及設備：2,432,296
        - 受限制資產(帳列其他資產-其他項下)：163,012
    - 110年9月30日：
        - 不動產、廠房及設備：2,439,674
        - 受限制資產(帳列其他資產-其他項下)：200,357

三九、重大或有負債及未認列之合約承諾

除其他附註另有說明者外，本集團於111年9月30日有下列重大承諾及或有事項：
(一) 已簽約之購置土地、房屋及建築計約 59,484 仟元。
(二) 已簽約之購置電信相關存貨、線路及機械設備計約 26,407,340 仟元。
