七、關係人交易

(一)關係人之名稱及關係

關係人名稱 與本集團關係
- 111年1月1日至3月31日：
    - 商品購買：
        - 關聯企業-台塑石化：45,247,980
        - 關聯企業-其他：3,250
        - 其他關係人：6,262,173
    - 合計：51,513,403


3. 應收關係人款項

- 112年3月31日：
    - 應收票據及帳款：
        - 關聯企業：3,724,167
        - 其他關係人：3,779,045
    - 合計：7,503,212

- 111年12月31日：
    - 應收票據及帳款：
        - 關聯企業：3,313,185
        - 其他關係人：3,840,753
    - 合計：7,153,938

- 111年3月31日：
    - 應收票據及帳款：
        - 關聯企業：4,542,367
        - 其他關係人：5,163,736
    - 合計：9,706,103


4. 應付關係人款項

- 112年3月31日：
    - 應付帳款：
        - 關聯企業-台塑石化：14,577,525
        - 關聯企業-其他：1,521,470
        - 其他關係人：2,550,086
    - 合計：16,098,995

- 111年12月31日：
    - 應付帳款：
        - 關聯企業-台塑石化：12,574,263
        - 關聯企業-其他：468
        - 其他關係人：1,309,797
    - 合計：13,884,528

- 111年3月31日：
    - 應付帳款：
        - 關聯企業-台塑石化：17,940,875
        - 其他關係人：2,550,086
    - 合計：20,490,961


5. 工程委託

(1)工程委託

- 112年1月1日至3月31日：
    - 委託承建廠區擴建及修護工程：
        - 關聯企業：251,278
        - 其他關係人：60,061
    - 合計：311,339

- 111年1月1日至3月31日：
    - 委託承建廠區擴建及修護工程：
        - 關聯企業：5,150
        - 其他關係人：45,868
    - 合計：51,018

(2)工程委託之期末餘額

- 112年3月31日：
    - 應付關係人款項：
        - 關聯企業：4,907
        - 其他關係人：63,226
    - 合計：68,133

- 111年12月31日：
    - 應付關係人款項：
        - 關聯企業：7,818
        - 其他關係人：8,477
    - 合計：16,295

- 111年3月31日：
    - 應付關係人款項：
        - 關聯企業：2,874
        - 其他關係人：31,584
    - 合計：34,458


6. 資金貸與關係人

(1)對關係人放款
A. 期末餘額

- 112年3月31日：
    - 關聯企業-台朔重工：1,500,000
    - 其他關係人-賴商台塑海運：2,448,470
    - 合計：3,948,470

- 111年12月31日：
    - 其他關係人-賴商台塑海運：2,429,252
    - 合計：2,429,252

- 111年3月31日：
    - 其他關係人-賴商台塑海運：2,841,803
    - 合計：2,841,803

B. 利息收入

- 112年1月1日至3月31日：
    - 關聯企業-台朔重工：2,884
    - 其他關係人-賴商台塑海運：11,276
    - 合計：14,160

- 111年1月1日至3月31日：
    - 其他關係人-賴商台塑海運：6,801
    - 合計：6,801


(2)向關係人借款
A. 期末餘額

- 112年3月31日：
    - 關聯企業：1,480,221
    - 其他關係人：24,798
    - 合計：1,480,221

- 111年12月31日：
    - 關聯企業：1,472,658
    - 合計：1,472,658

- 111年3月31日：
    - 關聯企業：533,376
    - 其他關係人：24,798
    - 合計：558,174

B. 利息費用

- 112年1月1日至3月31日：
    - 關聯企業：10,922
    - 其他關係人：150
    - 合計：10,922

- 111年1月1日至3月31日：
    - 關聯企業：4,019
    - 其他關係人：150
    - 合計：4,169


7. 營業費用

- 112年1月1日至3月31日：
    - 運費-其他關係人-台塑海運：464,275
    - 運費-其他關係人-台塑貨運(寧波)：307,547
    - 運費-其他關係人-其他：22,157
    - 合計：793,979

- 111年1月1日至3月31日：
    - 運費-其他關係人-台塑海運：242,391
    - 運費-其他關係人-台塑貨運(寧波)：288,980
    - 運費-其他關係人-其他：76,316
    - 合計：607,687


8. 租金收入

- 112年1月1日至3月31日：
    - 關聯企業-台塑石化：5,304
    - 關聯企業-其他：2,495
    - 其他關係人-南亞塑膠：6,980
    - 其他關係人-台塑大樓停車場：3,781
    - 其他關係人-台塑網科：3,850
    - 其他關係人-其他：6,430
    - 合計：28,840

- 111年1月1日至3月31日：
    - 關聯企業-台塑石化：5,304
    - 關聯企業-其他：3,101
    - 其他關係人-南亞塑膠：7,032
    - 其他關係人-台塑大樓停車場：3,954
    - 其他關係人-台塑網科：3,850
    - 其他關係人-其他：6,657
    - 合計：29,898


9. 財產交易

(1)取得不動產、廠房及設備

- 112年1月1日至3月31日：
    - 關聯企業：233,004
    - 其他關係人：310
    - 合計：233,004

- 111年1月1日至3月31日：
    - 關聯企業：5,150
    - 其他關係人：310
    - 合計：5,460

(2)取得金融資產

- 111年1月1日至3月31日：
    - 國塑塑膠-採用權益法之投資-國塑塑膠股權-1,800,000股：46,531

(3)處分金融資產：無


10. 主要管理階層薪酬資訊

- 112年1月1日至3月31日：
    - 薪資：27,582
    - 退職後福利：373
    - 合計：27,955

- 111年1月1日至3月31日：
    - 薪資：36,342
    - 退職後福利：405
    - 合計：36,747
